a accidentIndex
b sexOfDriver
c ageOfDriver
d ageOfVehicle
e accidentSeverity
f speedLimit
g didPoliceOfficerAttendSceneOfAccident

a             b   c    d    e   f    g
201506E098757 1.0 45.0 11.0 3.0 30.0 2.0
201506E098766 2.0 25.0 1.0 3.0 40.0 1.0
201506E098766 1.0 51.0 -1.0 3.0 40.0 1.0
201506E098777 1.0 50.0 1.0 3.0 30.0 1.0
201506E098780 1.0 27.0 -1.0 3.0 30.0 2.0
201506E098780 1.0 46.0 -1.0 3.0 30.0 2.0
201506E098792 2.0 27.0 8.0 3.0 40.0 1.0
201506E098792 1.0 33.0 10.0 3.0 40.0 1.0
201506E098804 1.0 24.0 1.0 3.0 30.0 1.0
201506E098826 1.0 25.0 8.0 3.0 30.0 1.0
201506E098826 1.0 43.0 6.0 3.0 30.0 1.0
201506E098847 1.0 29.0 -1.0 3.0 30.0 1.0
201506E098847 2.0 43.0 5.0 3.0 30.0 1.0
201506E098925 2.0 41.0 1.0 3.0 30.0 1.0
201506E098925 2.0 23.0 1.0 3.0 30.0 1.0
201506E098925 2.0 51.0 16.0 3.0 30.0 1.0
201506E098925 1.0 45.0 12.0 3.0 30.0 1.0
201506E098925 1.0 51.0 8.0 3.0 30.0 1.0
201506E099370 2.0 55.0 8.0 3.0 30.0 1.0
201506E099370 1.0 15.0 -1.0 3.0 30.0 1.0
201506E099429 2.0 37.0 3.0 3.0 40.0 1.0
201506E099429 1.0 26.0 1.0 3.0 40.0 1.0
201506E099429 1.0 26.0 1.0 3.0 40.0 1.0
201506E099429 1.0 26.0 1.0 3.0 40.0 1.0
201506E099455 1.0 40.0 5.0 3.0 30.0 1.0
201506E099455 2.0 48.0 8.0 3.0 30.0 1.0
201506E099474 2.0 47.0 7.0 3.0 30.0 1.0
201506E099505 1.0 37.0 -1.0 3.0 20.0 1.0
201506E099505 1.0 41.0 7.0 3.0 20.0 1.0
201506E099534 1.0 32.0 11.0 2.0 30.0 1.0
201506E099637 3.0 -1.0 10.0 3.0 30.0 2.0
201506E099637 1.0 33.0 -1.0 3.0 30.0 2.0
201506E099637 1.0 33.0 -1.0 3.0 30.0 2.0
201506E099749 1.0 15.0 8.0 3.0 40.0 1.0
201506E099749 2.0 31.0 1.0 3.0 40.0 1.0
201506E099755 3.0 -1.0 -1.0 3.0 30.0 1.0
201506E099797 1.0 30.0 -1.0 2.0 30.0 2.0
201506E099797 2.0 33.0 -1.0 2.0 30.0 2.0
201506E099800 1.0 27.0 7.0 3.0 20.0 1.0
201506E099800 2.0 33.0 3.0 3.0 20.0 1.0
201506E099833 1.0 26.0 12.0 3.0 30.0 1.0
201506E099833 2.0 51.0 10.0 3.0 30.0 1.0
201506E099833 1.0 33.0 -1.0 3.0 30.0 1.0
201506E099888 1.0 25.0 -1.0 3.0 30.0 1.0
201506E099976 1.0 13.0 -1.0 3.0 20.0 1.0
201506E099976 2.0 51.0 1.0 3.0 20.0 1.0
201506E099978 1.0 34.0 -1.0 3.0 70.0 1.0
201506E099978 2.0 25.0 10.0 3.0 70.0 1.0
201506E099988 2.0 40.0 10.0 2.0 30.0 1.0
201506E099988 1.0 33.0 -1.0 2.0 30.0 1.0
201506EM06421 2.0 65.0 8.0 3.0 30.0 1.0
201506EM06421 2.0 27.0 7.0 3.0 30.0 1.0
201506F000007 1.0 51.0 2.0 3.0 40.0 1.0
201506F000007 1.0 37.0 1.0 3.0 40.0 1.0
201506F000007 1.0 35.0 3.0 3.0 40.0 1.0
201506F000110 2.0 26.0 -1.0 3.0 40.0 1.0
201506F000171 1.0 40.0 10.0 3.0 30.0 1.0
201506F000171 2.0 40.0 5.0 3.0 30.0 1.0
201506F000171 2.0 50.0 4.0 3.0 30.0 1.0
201506F000182 1.0 31.0 6.0 3.0 30.0 1.0
